oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux
27.03458,115.1627,242.5009,603.4967,85.3163,61.01675,9.822543
67.74626,127.9261,176.3302,493.6632,89.40055,60.52003,11.2669
35.90257,72.9049,123.0597,263.0351,55.80645,35.21755,10.1735
18.5625,19.93994,79.88996,79.45538,26.13795,17.20313,10.33473
19.94879,101.531,138.4944,431.0724,67.58414,53.97366,12.12631
185.9304,179.4509,152.4457,610.4927,126.9875,93.18219,22.49047
11.67011,14.31455,47.12323,71.67233,13.07494,6.948167,6.987451
29.85682,110.1191,215.7953,577.6451,63.61296,49.94791,14.27423
52.99664,157.7932,231.7041,611.0917,101.6698,76.37183,16.52746
276.5397,238.5365,174.2028,827.587,120.7989,88.71133,16.70127
12.63752,50.09652,85.68623,245.8571,33.3136,25.84159,5.804684
50.91447,34.54463,51.62276,85.2169,26.26535,16.22344,12.32734
20.23802,53.10175,125.1355,225.5012,36.44585,20.07839,9.00357
91.79735,436.6859,651.0887,1903.177,338.5256,234.8536,38.47652
15.61844,25.59479,87.3358,125.2861,29.90361,19.22833,10.65732
16.69378,13.47517,82.10171,74.24059,36.34972,27.42592,8.203711
25.40514,42.73301,104.7779,143.0557,8.85749,13.7811,7.023433
477.545,141.8385,1462.243,630.5739,395.4742,370.7239,170.5181
39.86066,9.373948,86.21609,78.62863,22.77568,19.79215,19.61796
63.30251,354.3022,864.728,2178.482,319.6256,241.9759,42.31616
42.89327,28.47657,54.60743,64.66671,28.03007,10.27597,13.07801
246.3916,84.22272,458.694,385.5475,125.5416,87.97414,31.74413
32.30471,155.2978,318.8367,884.1459,93.5331,70.22626,19.75738
66.3695,151.7521,473.056,952.5225,186.9308,135.7988,48.05921
30.03091,28.07658,50.46161,55.67048,36.07892,17.51594,16.00184
173.5049,186.9738,751.9469,891.2619,145.8232,95.78333,47.60765
4880.951,1046.576,135.5109,3095.399,211.9595,146.8259,43.69547
671.542,372.4226,184.816,1247.729,224.5123,161.5044,31.59448
25406.11,4711.918,303.8357,13303.05,623.5158,477.2107,140.2638
60.77301,111.1534,180.6742,413.7059,96.99265,81.75352,13.63391
167.2728,64.69803,24.38883,267.1157,40.22558,40.87552,10.96878
2600.859,643.0717,91.23778,2175.349,181.5714,125.2191,30.17073
39.99495,36.72806,124.0043,168.5473,43.51919,29.3444,17.5378
394.8045,236.7483,653.9712,1086.555,186.2564,161.6633,44.66461
141.4012,174.1775,433.1755,819.405,122.8826,102.3645,32.93163
13431.35,2799.756,150.1507,8098.518,384.3161,268.976,72.3084
217.0928,1129.675,2671.915,5208.829,806.9395,731.309,97.33469
44.75943,146.9985,393.0045,702.9532,126.5432,94.38316,27.82457
1920.089,826.0174,637.0201,2589.947,377.7099,289.3578,92.74808
40.1276,143.4995,239.1187,579.863,94.70648,64.29597,15.54779
23.41858,17.32563,59.14783,83.03613,34.52518,27.45251,10.62332
38.22042,111.7731,230.4643,617.7015,72.78338,53.05243,15.11342
42.83102,15.71654,154.1326,125.415,60.7786,43.21224,22.23839
31.97479,40.32166,120.247,203.4731,30.10225,18.05249,10.26485
13.59104,19.89513,57.09821,72.18591,16.3543,11.11731,5.620716
376.8049,223.8227,135.6775,734.6049,130.6402,92.26906,25.04053
69.82687,125.8441,134.0822,528.0233,89.54394,62.02128,11.99467
16.46804,5.101326,39.35814,27.61805,14.41684,14.61173,6.576556
16.24675,28.83764,62.7889,142.8431,41.87153,27.65816,7.852541
45.90616,161.7639,364.7176,831.7211,118.0609,91.86855,24.34824
40.27866,46.968,42.12985,185.6335,47.51257,31.46781,9.392889
17.8483,50.08249,106.3168,252.9831,41.7591,31.78237,8.966632
14.53724,29.20896,116.9721,172.2035,34.04886,27.4141,7.528848
